Date,Directorate,Beneficiary,Summary,Amount,Merchant Category,Supplier Number
16/02/2021,Community Services,Services 4 Schools Ltd,Equipment Purchase,396.12,Food & Drink Purchases,S744
16/02/2021,Infrastructure,RPS Energy Ltd,Equipment Purchase,282.74,Consulting,S203
16/02/2021,Healthcare,West Midlands Employers,Equipment Purchase,113.6,Utilities,S891
16/02/2021,Healthcare,Ambinet Software Ltd,Project Management,493.92,Food & Drink Purchases,S281
16/02/2021,Community Services,Care Avenues Ltd - London,Equipment Purchase,387.79,Travel Expenses,S919
17/02/2021,Healthcare,Tame Industrial Cleaning Ltd,Training,192.62,Travel Expenses,S718
17/02/2021,Healthcare,Aprolis Uk Limited,Project Management,294.95,Travel Expenses,S532
17/02/2021,Infrastructure,T O A Taxis (Radio System) Ltd,Equipment Purchase,243.89,Utilities,S745
17/02/2021,Infrastructure,Centennial Property Ltd,Maintenance,180.73,Office Supplies,S977
17/02/2021,Infrastructure,Fridge Freezer Direct Ltd,Maintenance,237.87,Utilities,S377
17/02/2021,Housing,Integrated Skills Limited,Consultation,119.26,Office Supplies,S199
17/02/2021,Healthcare,Western Power Distribution (Wmids),Equipment Purchase,341.58,Consulting,S305
18/02/2021,Housing,Lanes Group Plc,Maintenance,297.08,Consulting,S906
18/02/2021,Housing,Clevercherry Ltd,Maintenance,409.35,Travel Expenses,S492
18/02/2021,Infrastructure,Payment Kiosks Ltd,Consultation,482.21,Utilities,S894
18/02/2021,Education,The Drama Hut Ltd,Consultation,118.54,Consulting,S802
18/02/2021,Education,Weldon & Sons Ltd,Project Management,402.6,Travel Expenses,S166
18/02/2021,Healthcare,Humly North East Limited,Consultation,101.97,Office Supplies,S911
18/02/2021,Education,Alan March Sport Limited,Equipment Purchase,273.08,Utilities,S108
18/02/2021,Housing,Starbeck Educational Resources Ltd,Maintenance,121.64,Food & Drink Purchases,S641
19/02/2021,Healthcare,Sg Equipment Finance Ltd,Project Management,390.47,Office Supplies,S768
19/02/2021,Infrastructure,Taylor Shaw Limited,Maintenance,211.94,Food & Drink Purchases,S516
19/02/2021,Infrastructure,Jonic Engineering Limited,Project Management,336.69,Utilities,S818
19/02/2021,Housing,London Care PLC,Training,237.65,Consulting,S710
19/02/2021,Infrastructure,Home Group Ltd,Training,178.33,Consulting,S565
19/02/2021,Housing,Teaching Walkthrus International Ltd,Equipment Purchase,220.23,Consulting,S548
19/02/2021,Community Services,Clarkeprint Ltd,Maintenance,328.17,Consulting,S376
19/02/2021,Education,Gardenbusters Limited,Project Management,256.94,Utilities,S488
20/02/2021,Healthcare,Fed Of Burial And Cremation Auth,Consultation,353.13,Consulting,S510
20/02/2021,Community Services,Ebm Office Centre Ltd,Equipment Purchase,423.23,Office Supplies,S138
20/02/2021,Infrastructure,Brookside Fire Service Ltd,Equipment Purchase,309.59,Office Supplies,S471
20/02/2021,Healthcare,Protocol Education Ltd,Consultation,59.44,Consulting,S763
20/02/2021,Education,Wow Active Ltd,Equipment Purchase,276.49,Food & Drink Purchases,S609
20/02/2021,Housing,Gowling Wlg (UK) LLP,Training,285.78,Office Supplies,S623
20/02/2021,Healthcare,School Software Company.Com Ltd,Maintenance,147.94,Travel Expenses,S136
21/02/2021,Housing,Firmin & Sons Ltd,Training,483.36,Office Supplies,S664
21/02/2021,Housing,Imaging Partnership Education Limited,Training,292.26,Food & Drink Purchases,S823
21/02/2021,Education,CPC Civils Limited,Maintenance,260.9,Travel Expenses,S564
21/02/2021,Infrastructure,Together Minds CIC,Training,296.96,Travel Expenses,S107
21/02/2021,Education,Elmbridge Electrical Contractors Limited,Consultation,177.13,Office Supplies,S922
21/02/2021,Education,St Barnabas Church Centre,Consultation,388.14,Consulting,S172
21/02/2021,Housing,Ophardt Hygiene,Training,451.41,Food & Drink Purchases,S845
21/02/2021,Community Services,Isl Ltd,Maintenance,485.83,Office Supplies,S703
22/02/2021,Healthcare,Mapleshire Wheelchair Basketball,Training,427.58,Consulting,S991
22/02/2021,Education,The Drama Hut Ltd,Training,67.92,Consulting,S254
22/02/2021,Community Services,E Act Ltd,Project Management,61.76,Utilities,S121
22/02/2021,Housing,W F Howes Ltd,Training,380.5,Consulting,S752
22/02/2021,Education,Mapleshire Ethnic Education & Advisory Service,Training,482.31,Utilities,S422
22/02/2021,Infrastructure,Citizens UK,Consultation,316.47,Travel Expenses,S267
22/02/2021,Infrastructure,Westcountry Corporate Limited,Consultation,262.13,Travel Expenses,S371
22/02/2021,Education,Think Forensics Limited,Training,441.69,Office Supplies,S921
23/02/2021,Healthcare,Diverse Care Services Limited,Consultation,283.81,Utilities,S560
23/02/2021,Healthcare,Kings Heath Business Improvement Di,Equipment Purchase,63.58,Food & Drink Purchases,S108
23/02/2021,Education,Reach2 Academy Trust,Project Management,259.39,Food & Drink Purchases,S244
23/02/2021,Community Services,The Flame Lily Healthcare Ltd,Consultation,443.4,Travel Expenses,S448
23/02/2021,Community Services,TCS Child Counselling Ltd,Project Management,193.77,Travel Expenses,S581
23/02/2021,Housing,The Disabilities Trust,Equipment Purchase,329.5,Consulting,S474
23/02/2021,Healthcare,Wildcard Software Limited,Equipment Purchase,389.29,Utilities,S339
24/02/2021,Housing,Legacy West Midlands,Consultation,373.77,Utilities,S788
24/02/2021,Housing,Altia Solutions Ltd,Consultation,71.25,Consulting,S101
24/02/2021,Community Services,Infinite Goose Limited,Equipment Purchase,300.12,Travel Expenses,S545
24/02/2021,Infrastructure,Virgin Media Business Limited,Consultation,484.0,Office Supplies,S535
24/02/2021,Community Services,Cygnet Learning Disablities Midland,Consultation,315.98,Travel Expenses,S450
24/02/2021,Infrastructure,Macc Care Ltd,Equipment Purchase,108.67,Office Supplies,S862
24/02/2021,Education,Empire Care Ltd,Equipment Purchase,498.87,Office Supplies,S800
24/02/2021,Community Services,Rentokil Initial UK Ltd,Consultation,195.18,Travel Expenses,S783
25/02/2021,Education,AJF Electrical Ltd,Consultation,449.51,Consulting,S756
25/02/2021,Infrastructure,Arden Print Limited,Consultation,226.76,Food & Drink Purchases,S526
25/02/2021,Healthcare,Bibliographic Data Services Ltd,Training,386.78,Food & Drink Purchases,S473
25/02/2021,Housing,William Austin Engineering Services,Maintenance,380.67,Consulting,S551
25/02/2021,Infrastructure,Air Nation KH Ltd,Maintenance,275.02,Food & Drink Purchases,S673
25/02/2021,Housing,Whittle Coach & Bus Ltd,Maintenance,289.97,Office Supplies,S900
25/02/2021,Education,Fleet Education Services Ltd,Project Management,401.93,Utilities,S521
25/02/2021,Housing,The Award Scheme Ltd,Consultation,322.49,Utilities,S584
26/02/2021,Community Services,Kashmiri Arts & Heritage Foundation,Consultation,106.93,Food & Drink Purchases,S591
26/02/2021,Community Services,GTW Media Limited,Project Management,76.63,Food & Drink Purchases,S280
26/02/2021,Healthcare,H. Smith Plastics Limited,Consultation,395.86,Food & Drink Purchases,S938
26/02/2021,Housing,Falcon Education Academies Trust,Equipment Purchase,492.29,Office Supplies,S415
26/02/2021,Education,AVA Sturridge-Packer Edu Sol Ltd,Consultation,157.92,Food & Drink Purchases,S427
26/02/2021,Community Services,Orchid Supported Living Ltd,Maintenance,136.15,Office Supplies,S224
26/02/2021,Housing,School Merit Stickers,Project Management,208.71,Office Supplies,S887
27/02/2021,Infrastructure,LRQA Limited,Training,147.71,Travel Expenses,S911
27/02/2021,Community Services,Kiwa Limited,Equipment Purchase,306.55,Travel Expenses,S746
27/02/2021,Healthcare,Bartholamew Lodge Nursing Home Limited,Consultation,485.03,Food & Drink Purchases,S461
27/02/2021,Education,Swan Street Coach & Taxi Service,Maintenance,111.0,Consulting,S705
27/02/2021,Community Services,Citysave Credit Union Ltd,Consultation,215.5,Utilities,S385
27/02/2021,Community Services,Park Retail Limited,Equipment Purchase,414.28,Utilities,S707
27/02/2021,Community Services,Ergo Computing UK Ltd,Project Management,237.33,Travel Expenses,S980
27/02/2021,Healthcare,J & M Tyres Ltd,Project Management,201.6,Consulting,S120
28/02/2021,Community Services,Tunes X Tables Limited,Maintenance,263.56,Food & Drink Purchases,S954
28/02/2021,Community Services,Southon Associates Ltd,Training,369.64,Consulting,S221
28/02/2021,Housing,Facultatieve Technologies Ltd,Equipment Purchase,89.24,Office Supplies,S401
28/02/2021,Housing,Golden Stars Nursery Ltd,Training,101.15,Food & Drink Purchases,S309
28/02/2021,Community Services,Signature Inns Limited,Maintenance,478.62,Food & Drink Purchases,S272
28/02/2021,Healthcare,Jrk Computer Supplies,Maintenance,282.34,Utilities,S412
28/02/2021,Infrastructure,RR Planning Limited,Equipment Purchase,358.11,Consulting,S849
28/02/2021,Community Services,Maverick Sport Ltd,Consultation,59.26,Utilities,S291
01/03/2021,Infrastructure,Pcs Books Ltd,Equipment Purchase,70.6,Office Supplies,S735
01/03/2021,Education,Masiello Ltd,Project Management,345.2,Consulting,S469
01/03/2021,Healthcare,Countrywide Grounds Maintenance Ltd,Training,184.17,Food & Drink Purchases,S631
01/03/2021,Community Services,Longmynd Travel Ltd,Consultation,68.31,Consulting,S271
01/03/2021,Healthcare,Blue Whale Training Ltd,Consultation,162.32,Consulting,S730
01/03/2021,Community Services,Medequip Assistive Technology Ltd,Maintenance,468.92,Food & Drink Purchases,S136
01/03/2021,Community Services,Bibliographic Data Services Ltd,Equipment Purchase,491.8,Consulting,S401
02/03/2021,Community Services,Connaught Resourcing Ltd,Consultation,81.22,Consulting,S909
02/03/2021,Healthcare,Just Call 4 Care Services Ltd,Equipment Purchase,453.03,Utilities,S611
02/03/2021,Healthcare,All About Holes Ltd,Equipment Purchase,216.67,Travel Expenses,S679
02/03/2021,Housing,Postjet Systems Ltd,Training,188.63,Travel Expenses,S687
02/03/2021,Healthcare,Ncer CIC,Equipment Purchase,244.69,Travel Expenses,S865
02/03/2021,Healthcare,RPS Consulting Services Limited,Consultation,123.11,Office Supplies,S123
02/03/2021,Community Services,Knightsbridge Furn Productions Ltd,Consultation,275.21,Office Supplies,S229
02/03/2021,Community Services,Kathryn Rees Ltd,Maintenance,485.76,Travel Expenses,S821
03/03/2021,Healthcare,The Publishing Foundry Ltd,Maintenance,468.59,Consulting,S190
03/03/2021,Education,M3 Housing Ltd,Maintenance,436.6,Office Supplies,S691
03/03/2021,Community Services,Donegal Road Allotment Association,Project Management,257.35,Travel Expenses,S417
03/03/2021,Housing,The Brilliant Club,Consultation,140.29,Utilities,S343
03/03/2021,Housing,Osborne Richardson Limited,Project Management,293.95,Office Supplies,S419
03/03/2021,Education,Courtson Engineering Ltd,Project Management,427.09,Consulting,S269
03/03/2021,Education,Acoustic 1 Ltd,Project Management,356.92,Consulting,S282
03/03/2021,Housing,Waste Management Associates,Training,88.86,Travel Expenses,S803
04/03/2021,Healthcare,Mapleshire City Football Club PLC,Consultation,416.06,Food & Drink Purchases,S612
04/03/2021,Housing,Neurobox Limited,Training,218.11,Food & Drink Purchases,S399
04/03/2021,Infrastructure,Anchor Hanover Group - Madeleine House,Consultation,274.79,Office Supplies,S140
04/03/2021,Housing,Physio & Health Matters Limited,Maintenance,418.83,Consulting,S594
04/03/2021,Infrastructure,Bournville Parish Church,Equipment Purchase,379.62,Travel Expenses,S388
04/03/2021,Healthcare,Mazon Flooring Limited,Maintenance,335.28,Food & Drink Purchases,S585
04/03/2021,Healthcare,Graceful Healthcare Services Ltd,Equipment Purchase,126.41,Food & Drink Purchases,S531
05/03/2021,Infrastructure,BBDC Ltd,Training,380.84,Consulting,S542
05/03/2021,Healthcare,Leicestershire County Council,Project Management,203.44,Food & Drink Purchases,S115
05/03/2021,Community Services,Crimestoppers,Project Management,407.66,Office Supplies,S105
05/03/2021,Housing,National Governance Association,Maintenance,78.8,Travel Expenses,S879
05/03/2021,Education,Robertson Bell Ltd,Project Management,349.24,Consulting,S820
05/03/2021,Healthcare,Rhino UK,Consultation,67.55,Utilities,S277
05/03/2021,Education,Csi Training And Events Ltd,Consultation,347.12,Office Supplies,S976
05/03/2021,Healthcare,Equiniti Ltd,Consultation,373.34,Travel Expenses,S479
06/03/2021,Housing,Scholastic Ltd,Consultation,411.78,Utilities,S868
06/03/2021,Community Services,Gatehouse Media Limited,Maintenance,131.33,Travel Expenses,S254
06/03/2021,Infrastructure,Pro-Active Asbestos Control Ltd,Project Management,493.17,Consulting,S763
06/03/2021,Housing,Imovesdance Ltd,Training,308.42,Travel Expenses,S678
06/03/2021,Infrastructure,Park Lane Fencing Ltd,Project Management,294.99,Office Supplies,S676
06/03/2021,Education,M3 Housing Ltd,Consultation,189.84,Food & Drink Purchases,S187
06/03/2021,Housing,High Street Solicitors Ltd - Client A/C,Project Management,270.0,Consulting,S475
07/03/2021,Community Services,The Printsite Ltd,Maintenance,62.23,Travel Expenses,S183
07/03/2021,Healthcare,Specialist Wildlife Services,Consultation,214.08,Consulting,S402
07/03/2021,Housing,Crestar Healthcare Limited,Project Management,347.6,Travel Expenses,S718
07/03/2021,Education,Heart Of England Community Founda,Project Management,483.4,Travel Expenses,S849
07/03/2021,Community Services,Batchcott & Waller Limited,Project Management,66.01,Office Supplies,S655
07/03/2021,Education,Mcphillips (Wellington ) Ltd,Consultation,480.86,Utilities,S671
07/03/2021,Community Services,Height Lift & Shift Ltd,Project Management,261.97,Utilities,S115
07/03/2021,Community Services,Stennards Leisure (Northfield),Training,159.75,Food & Drink Purchases,S536
08/03/2021,Infrastructure,Signature Inns Limited,Training,452.95,Travel Expenses,S818
08/03/2021,Housing,Opus Performance Ltd,Project Management,322.79,Consulting,S969
08/03/2021,Education,Dawson Rentals Sweepers Ltd,Project Management,339.63,Food & Drink Purchases,S393
08/03/2021,Infrastructure,Arval UK Limited,Equipment Purchase,448.86,Office Supplies,S620
08/03/2021,Housing,Edgeview Homes Ltd,Consultation,337.1,Food & Drink Purchases,S621
08/03/2021,Infrastructure,B Bids Ltd,Training,441.07,Travel Expenses,S801
08/03/2021,Education,Charmend Limited,Consultation,137.49,Utilities,S345
08/03/2021,Healthcare,Genesis Homes (Essex) Ltd,Maintenance,223.65,Utilities,S192
09/03/2021,Healthcare,ARJO. Med. Aktiebolag Ltd,Project Management,437.32,Food & Drink Purchases,S886
09/03/2021,Community Services,Agilico Workplace Technologies (Midlands) Limited,Equipment Purchase,407.55,Utilities,S541
09/03/2021,Community Services,Cheshire Estate And Legal Ltd,Project Management,203.45,Office Supplies,S954
09/03/2021,Community Services,Beacon Family Services CIC,Maintenance,494.34,Office Supplies,S887
09/03/2021,Housing,Nova Consultancy Services Ltd,Maintenance,74.34,Travel Expenses,S514
09/03/2021,Housing,Support & New Beginnings Ltd,Project Management,267.13,Consulting,S500
09/03/2021,Healthcare,Canon (UK) Limited,Consultation,417.67,Consulting,S484
10/03/2021,Infrastructure,Environmental Resources Management Limited,Consultation,193.64,Travel Expenses,S647
10/03/2021,Housing,Loudmouth Education & Training Ltd,Maintenance,108.81,Consulting,S992
10/03/2021,Housing,Swift Maintenance Services,Equipment Purchase,129.8,Food & Drink Purchases,S979
10/03/2021,Infrastructure,Kbl Electrical Ltd,Consultation,156.31,Office Supplies,S101
10/03/2021,Housing,S J W First Aid Training Services,Consultation,298.9,Utilities,S941
10/03/2021,Housing,PATROL,Consultation,239.57,Office Supplies,S667
10/03/2021,Community Services,Chinese Community Centre Mapleshire,Training,400.11,Consulting,S276
10/03/2021,Community Services,CED Services Ltd,Training,80.44,Utilities,S238
11/03/2021,Housing,Academia Ltd,Training,228.61,Food & Drink Purchases,S217
11/03/2021,Education,CACI Ltd,Equipment Purchase,204.63,Food & Drink Purchases,S351
11/03/2021,Education,Now Press Play Ltd,Maintenance,237.06,Office Supplies,S207
11/03/2021,Community Services,Milsted Langdon LLP,Maintenance,217.75,Office Supplies,S769
11/03/2021,Housing,DWF LLP,Training,205.53,Consulting,S460
11/03/2021,Education,General Public Projects Ltd,Maintenance,326.61,Travel Expenses,S407
11/03/2021,Education,Positive Living Limited,Maintenance,441.64,Consulting,S910
11/03/2021,Housing,A1 International Services Limited,Training,117.49,Utilities,S339
12/03/2021,Infrastructure,Odlings Ltd,Maintenance,401.82,Travel Expenses,S611
12/03/2021,Healthcare,Allied Publicity Svcs (Manchester),Maintenance,67.16,Utilities,S349
12/03/2021,Healthcare,Wifispark Ltd,Equipment Purchase,415.58,Travel Expenses,S953
12/03/2021,Housing,TUKe And Bell Ltd,Equipment Purchase,380.88,Office Supplies,S670
12/03/2021,Housing,Nssc Operations Ltd,Equipment Purchase,475.55,Utilities,S825
12/03/2021,Education,TES Global Limited,Consultation,347.28,Office Supplies,S573
12/03/2021,Infrastructure,We Are Marketable,Training,83.47,Utilities,S714
13/03/2021,Healthcare,CSL (Dualcom) Limited,Project Management,431.4,Food & Drink Purchases,S359
13/03/2021,Community Services,Encanto Limited,Consultation,400.62,Consulting,S519
13/03/2021,Education,Wesleycare Ltd,Project Management,240.42,Consulting,S426
13/03/2021,Housing,Devon County Council,Equipment Purchase,79.73,Consulting,S826
13/03/2021,Housing,Stave-Con Ltd,Maintenance,182.48,Office Supplies,S298
13/03/2021,Community Services,GL Golf Academy,Training,445.94,Food & Drink Purchases,S338
13/03/2021,Housing,Foresee Fixed Line Ltd,Project Management,95.07,Food & Drink Purchases,S778
13/03/2021,Infrastructure,Sg World Ltd,Equipment Purchase,473.8,Travel Expenses,S711
14/03/2021,Healthcare,ALS Laboratories (UK) Limited,Project Management,184.86,Consulting,S845
14/03/2021,Housing,Uni-Lite International Ltd,Training,326.66,Office Supplies,S586
14/03/2021,Infrastructure,Telealarm Europe Gmbh,Consultation,109.62,Utilities,S983
14/03/2021,Infrastructure,Tudor (UK) Ltd,Project Management,144.87,Travel Expenses,S634
14/03/2021,Education,AJG Construction Midlands Ltd,Maintenance,352.1,Consulting,S418
14/03/2021,Infrastructure,Pageone Communications Ltd,Consultation,380.1,Office Supplies,S780
14/03/2021,Housing,P W Commercial Company Ltd,Maintenance,249.0,Utilities,S947
14/03/2021,Healthcare,Coppice Primary School,Consultation,155.49,Food & Drink Purchases,S429
15/03/2021,Infrastructure,Canal & River Trust,Project Management,454.82,Office Supplies,S851
15/03/2021,Infrastructure,Toolstation Ltd,Consultation,313.46,Consulting,S583
15/03/2021,Infrastructure,Keel Toys Limited,Training,228.85,Consulting,S889
15/03/2021,Healthcare,The Oval School,Project Management,479.5,Office Supplies,S996
15/03/2021,Education,Boom Creative,Maintenance,403.61,Utilities,S907
15/03/2021,Infrastructure,Care First Class UK Ltd,Equipment Purchase,67.55,Consulting,S948
15/03/2021,Community Services,Magic Breakfast,Training,126.22,Travel Expenses,S965
16/03/2021,Community Services,Muslim Women's Network UK,Maintenance,122.43,Travel Expenses,S359
16/03/2021,Infrastructure,Renault Retail Group UK Limited,Training,202.5,Consulting,S796
16/03/2021,Housing,Greenfields Education Limited,Consultation,188.48,Travel Expenses,S766
16/03/2021,Education,Oakview Estates Ltd,Maintenance,90.17,Consulting,S574
16/03/2021,Community Services,Zoom Video Communications Inc,Equipment Purchase,429.84,Utilities,S520
16/03/2021,Infrastructure,Bibliographic Data Services Ltd,Project Management,475.35,Office Supplies,S456
16/03/2021,Infrastructure,Quality Education Solutions Limited,Project Management,490.57,Consulting,S974
16/03/2021,Community Services,Action Graphics & Display Ltd,Maintenance,175.51,Food & Drink Purchases,S249
17/03/2021,Healthcare,Direct Automation Ltd,Maintenance,261.34,Utilities,S829
17/03/2021,Community Services,Greendec Ltd,Maintenance,398.29,Office Supplies,S457
17/03/2021,Infrastructure,Community Homes of Intensive Care and Education Limited,Project Management,155.4,Office Supplies,S656
17/03/2021,Healthcare,West Midlands Accessible Transport Limited,Training,203.93,Travel Expenses,S890
17/03/2021,Healthcare,Satchell Moran Solicitors Limited,Maintenance,278.4,Office Supplies,S236
17/03/2021,Education,Martingate Services Ltd,Equipment Purchase,292.9,Office Supplies,S482
17/03/2021,Infrastructure,MRC Media Limited,Equipment Purchase,428.1,Utilities,S236
17/03/2021,Healthcare,Sandwell & Mapleshire Mela Limited,Equipment Purchase,312.25,Office Supplies,S192
18/03/2021,Community Services,Meadow View Jmi School,Maintenance,465.69,Travel Expenses,S365
18/03/2021,Infrastructure,William Austin Engineering Services,Equipment Purchase,227.56,Food & Drink Purchases,S124
18/03/2021,Healthcare,Milsted Langdon LLP,Consultation,488.15,Office Supplies,S463
18/03/2021,Healthcare,Hc-One Oval Ltd,Training,276.58,Utilities,S348
18/03/2021,Infrastructure,Hf Trust Ltd,Training,122.19,Office Supplies,S499
18/03/2021,Education,Stone House Brewery Limited,Maintenance,345.99,Office Supplies,S567
18/03/2021,Healthcare,Misco Technologies Limited,Consultation,191.16,Utilities,S595
19/03/2021,Education,Blinkbright Ltd,Maintenance,193.55,Food & Drink Purchases,S512
19/03/2021,Education,Sutton Fire Protection,Equipment Purchase,425.58,Travel Expenses,S825
19/03/2021,Housing,Liberator Limited,Training,472.32,Utilities,S850
19/03/2021,Housing,Bramley Court Care Homes Limited,Project Management,366.56,Food & Drink Purchases,S822
19/03/2021,Education,Autism.West Midlands,Equipment Purchase,176.82,Travel Expenses,S904
19/03/2021,Healthcare,Sutton Fire Protection,Equipment Purchase,437.81,Travel Expenses,S406
19/03/2021,Healthcare,Earlsdon Care Ltd,Consultation,171.92,Utilities,S327
19/03/2021,Healthcare,Full Gospel Tabernacle,Equipment Purchase,358.69,Office Supplies,S634
20/03/2021,Education,Brightly Software Limited,Consultation,287.31,Office Supplies,S621
20/03/2021,Housing,Civica UK Ltd,Project Management,426.55,Office Supplies,S606
20/03/2021,Community Services,International Sports Tours Ltd,Training,123.71,Travel Expenses,S107
20/03/2021,Housing,Ann Arbor Publishers Ltd,Training,75.65,Consulting,S617
20/03/2021,Housing,Geo Interiors Limited,Consultation,293.54,Utilities,S429
20/03/2021,Community Services,Peacemakers,Maintenance,105.66,Office Supplies,S734
20/03/2021,Healthcare,Abbey Court Care Lmited,Project Management,156.83,Travel Expenses,S393
20/03/2021,Housing,Travis Perkins Trading Company Ltd,Equipment Purchase,135.4,Food & Drink Purchases,S195
21/03/2021,Infrastructure,Whites Removals Ltd,Training,421.71,Consulting,S763
21/03/2021,Community Services,Angelus Law Ltd,Consultation,151.63,Utilities,S291
21/03/2021,Infrastructure,Hyde High School,Training,334.38,Utilities,S335
21/03/2021,Healthcare,MRC Media Limited,Equipment Purchase,104.79,Utilities,S854
21/03/2021,Housing,Care & Grace Ltd,Maintenance,193.57,Office Supplies,S540
21/03/2021,Education,G E Collis & Sons Ltd,Consultation,335.37,Food & Drink Purchases,S171
21/03/2021,Housing,Get Set 4 Education Ltd,Training,370.78,Travel Expenses,S229
22/03/2021,Housing,Tutor World HG Ltd,Maintenance,310.35,Travel Expenses,S266
22/03/2021,Housing,Hydraclean Ltd,Equipment Purchase,371.18,Office Supplies,S324
22/03/2021,Education,Safe Transport (South West) Ltd,Consultation,386.85,Utilities,S688
22/03/2021,Housing,Explore Your Senses,Project Management,148.14,Travel Expenses,S405
22/03/2021,Housing,Luma Homecare Ltd,Maintenance,267.05,Office Supplies,S457
22/03/2021,Infrastructure,Insulation Contracting Services Ltd,Maintenance,144.69,Office Supplies,S185
22/03/2021,Education,Pgl Travel Ltd,Training,188.38,Utilities,S742
22/03/2021,Infrastructure,Trinity Care & Support Services Ltd,Consultation,427.49,Travel Expenses,S165
23/03/2021,Community Services,Angelus Law Ltd,Maintenance,290.86,Office Supplies,S331
23/03/2021,Housing,Leaversgear.com Limited,Training,392.01,Utilities,S167
23/03/2021,Housing,Mapleshire Highways Ltd,Maintenance,66.99,Office Supplies,S212
23/03/2021,Healthcare,Sandwell Ips Ltd,Maintenance,294.0,Travel Expenses,S640
23/03/2021,Housing,Alucast Limited,Maintenance,59.49,Food & Drink Purchases,S944
23/03/2021,Healthcare,Jewson Ltd,Consultation,157.76,Office Supplies,S293
23/03/2021,Infrastructure,Restful Homes (Midlands) Ltd,Consultation,216.54,Consulting,S866
23/03/2021,Education,MP Devco Limited,Maintenance,207.96,Utilities,S390
24/03/2021,Healthcare,Hga Learning Ltd,Consultation,357.7,Travel Expenses,S772
24/03/2021,Community Services,AJ Electrical Safety Testing & Property Services,Project Management,477.45,Office Supplies,S241
24/03/2021,Housing,J & J Maintenance (Holdings) Ltd,Project Management,462.19,Food & Drink Purchases,S376
24/03/2021,Education,Fellowship Of Inspection Nominees L,Maintenance,327.83,Office Supplies,S665
24/03/2021,Infrastructure,Listen Uplift Vent CIC,Project Management,480.66,Consulting,S115
24/03/2021,Healthcare,The Mapleshire Dogs Home,Consultation,249.35,Consulting,S549
24/03/2021,Housing,SHL (UK) Ltd,Consultation,51.01,Consulting,S727
25/03/2021,Education,Sandwell Allotments Tennants Assn,Training,401.82,Office Supplies,S683
25/03/2021,Community Services,Atec Security Ltd,Training,144.24,Travel Expenses,S301
25/03/2021,Healthcare,Atom IT Solutions Ltd,Equipment Purchase,197.19,Food & Drink Purchases,S542
25/03/2021,Housing,DLS Send Support Solutions Ltd,Equipment Purchase,151.74,Office Supplies,S732
25/03/2021,Healthcare,Kernow House Nursing Home,Training,454.94,Utilities,S353
25/03/2021,Healthcare,Northgate Vehicle Hire (West Midlands) Limited,Maintenance,176.59,Office Supplies,S922
25/03/2021,Housing,Prudent Health Services Ltd,Training,123.54,Utilities,S417
25/03/2021,Infrastructure,Scout Insurance Services Ltd,Maintenance,276.02,Utilities,S501
26/03/2021,Healthcare,Satchell Moran Solicitors Limited,Project Management,320.87,Travel Expenses,S991
26/03/2021,Healthcare,Isis Control Systems Ltd,Consultation,427.91,Utilities,S568
26/03/2021,Healthcare,Foresight Clinical Services Limited,Training,292.29,Travel Expenses,S444
26/03/2021,Housing,Now Education Group Limited,Consultation,119.39,Food & Drink Purchases,S133
26/03/2021,Infrastructure,Farmers Cottage Lamps Limited,Maintenance,131.36,Consulting,S903
26/03/2021,Healthcare,Bearwood Nursing Home Ltd,Equipment Purchase,83.23,Utilities,S390
26/03/2021,Infrastructure,Instilling Inspiration Ltd,Equipment Purchase,206.24,Travel Expenses,S965
26/03/2021,Housing,The Old Library Trust,Training,153.38,Office Supplies,S848
27/03/2021,Housing,MADEBA CARE LTD,Training,82.95,Utilities,S111
27/03/2021,Healthcare,Qualitec Systems Ltd,Project Management,201.4,Consulting,S510
27/03/2021,Infrastructure,EPC National Limited,Training,197.81,Utilities,S582
27/03/2021,Infrastructure,Crowdguard Limited,Training,60.46,Office Supplies,S408
27/03/2021,Community Services,Tfh Special Needs,Project Management,63.74,Food & Drink Purchases,S645
27/03/2021,Housing,Shredpro Ltd,Equipment Purchase,181.9,Office Supplies,S613
27/03/2021,Infrastructure,D & V 15 Ltd,Training,296.18,Consulting,S430
28/03/2021,Community Services,My Party Festival Ltd,Training,312.46,Travel Expenses,S442
28/03/2021,Community Services,Abfallbehalter & Container Weber UK Ltd,Consultation,358.47,Office Supplies,S453
28/03/2021,Education,Adaptive IT Solutions Ltd,Project Management,473.91,Utilities,S866
28/03/2021,Healthcare,Install (Ceilings & Partitions) Ltd,Maintenance,178.1,Utilities,S363
28/03/2021,Housing,The Black Pounds Project CIC,Maintenance,255.22,Food & Drink Purchases,S168
28/03/2021,Community Services,Trios Facilities Management Limited,Maintenance,177.79,Office Supplies,S703
28/03/2021,Community Services,Mapleshire Museums Trust,Maintenance,459.8,Consulting,S163
28/03/2021,Education,Building Environment Control Ltd,Maintenance,393.88,Office Supplies,S432
29/03/2021,Education,Corporate Document Services Ltd,Project Management,246.08,Consulting,S240
29/03/2021,Infrastructure,Sutton Town Netball Club,Consultation,225.35,Utilities,S250
29/03/2021,Community Services,Inspiring Care Ltd,Training,61.3,Consulting,S645
29/03/2021,Infrastructure,Cygnet Learning Disablities Midland,Project Management,313.66,Office Supplies,S700
29/03/2021,Community Services,Renaissance Learning UK Ltd,Maintenance,357.66,Travel Expenses,S888
